president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,12/22/2017,38.84623,43.48132,34.21114,56.60857,60.82695,52.39019,13:03:31 22 Dec 2017
Donald Trump,All polls,12/22/2017,37.14611,42.04803,32.24418,57.08867,62.06757,52.10978,13:03:18 22 Dec 2017
Donald Trump,Adults,12/21/2017,35.77409,39.98901,31.55917,57.88775,63.29929,52.47622,13:16:26 21 Dec 2017
Donald Trump,Voters,12/21/2017,38.74059,43.34423,34.13694,56.77304,60.98219,52.5639,13:16:32 21 Dec 2017
Donald Trump,All polls,12/21/2017,37.0453,41.94979,32.1408,57.23926,62.26624,52.21227,13:16:19 21 Dec 2017
Donald Trump,Voters,12/20/2017,38.77604,43.37341,34.17867,56.78464,60.9945,52.57477,14:28:32 20 Dec 2017
Donald Trump,Adults,12/20/2017,35.86745,40.16387,31.57104,57.55755,62.97956,52.13554,14:28:26 20 Dec 2017
Donald Trump,All polls,12/20/2017,37.20605,42.15113,32.26097,56.98474,61.99156,51.97792,14:28:19 20 Dec 2017
Donald Trump,Voters,12/19/2017,38.20256,42.58469,33.82044,57.26283,61.38708,53.13858,15:37:33 19 Dec 2017
Donald Trump,Adults,12/19/2017,35.93935,40.19051,31.68819,57.91428,63.36301,52.46555,15:37:27 19 Dec 2017
Donald Trump,All polls,12/19/2017,37.10143,41.74622,32.45663,57.38179,62.37889,52.38468,15:37:20 19 Dec 2017
Donald Trump,Adults,12/18/2017,36.25013,40.72108,31.77917,57.28722,62.97261,51.60183,13:18:24 18 Dec 2017
Donald Trump,Voters,12/18/2017,38.38718,43.00181,33.77255,56.61967,60.90336,52.33598,13:18:30 18 Dec 2017
Donald Trump,All polls,12/18/2017,37.21277,42.06018,32.36535,56.7984,62.05048,51.54631,13:18:17 18 Dec 2017
Donald Trump,Voters,12/17/2017,38.28982,42.82446,33.75517,56.81938,61.05926,52.57949,15:41:30 17 Dec 2017
Donald Trump,Adults,12/17/2017,35.97097,40.21576,31.72618,57.98541,63.31239,52.65843,15:41:24 17 Dec 2017
Donald Trump,All polls,12/17/2017,37.00387,41.72515,32.28259,57.35746,62.34027,52.37466,15:41:18 17 Dec 2017
Donald Trump,Adults,12/16/2017,34.93087,38.82144,31.04029,58.28658,63.78065,52.7925,13:03:24 16 Dec 2017
Donald Trump,Voters,12/16/2017,38.28982,42.82446,33.75517,56.81938,61.05926,52.57949,13:03:30 16 Dec 2017
Donald Trump,All polls,12/16/2017,36.40314,41.07541,31.73088,57.50006,62.59423,52.40588,13:03:17 16 Dec 2017
Donald Trump,Voters,12/15/2017,38.28982,42.82446,33.75517,56.81938,61.05926,52.57949,15:40:35 15 Dec 2017
Donald Trump,Adults,12/15/2017,34.9917,38.85859,31.12481,58.19014,63.64735,52.73292,15:40:29 15 Dec 2017
